name,link,1D,30D,1Y
Meezan Strategic Allocation Fund (MSAP IV),https://sarmaaya.pk/mutual-funds/fund/beb27a2f-680e-4425-9e5d-da98497b0643,-2.54%,-1.68%,37.65%
NIT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/f42c565f-f70e-4d8b-bb62-857fdd5b4d96,-3.90%,-3.92%,37.10%
Lakson Tactical Fund,https://sarmaaya.pk/mutual-funds/fund/1cf041a5-a809-485f-aad0-abb3a64eeefc,0.02%,1.10%,36.42%
Pakistan Capital Market Fund,https://sarmaaya.pk/mutual-funds/fund/51e1f8f0-79d8-4ab6-bf29-cf4d55947cba,-2.13%,-0.81%,36.16%
Meezan Strategic Allocation Fund (MSAP V),https://sarmaaya.pk/mutual-funds/fund/c214b9a5-9edd-45b2-bea6-37ed8204aeba,-2.62%,-1.78%,36.08%
Meezan Balanced Fund,https://sarmaaya.pk/mutual-funds/fund/f6bcc825-99fe-47f8-a09c-805f9e46697c,3.75%,2.14%,35.89%
Pak Oman Advantage Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/76e97248-0b10-4b5f-8dee-c446f60d6b06,1.54%,-1.06%,35.55%
Meezan Financial Planning Fund of Funds (Moderate),https://sarmaaya.pk/mutual-funds/fund/6c480a77-4e77-486b-8ae4-a1381d65b474,3.23%,1.88%,35.17%
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/53c69b9c-6f0c-4746-9c34-d62a636567be,2.05%,1.19%,34.96%
UBL Growth & Income Fund,https://sarmaaya.pk/mutual-funds/fund/2a24c0b0-38b8-4c69-b465-14cfba6cf5de,23.14%,12.73%,34.38%
Al Ameen Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/895e9d50-f58c-4f20-9cfc-09d3bee3c6bb,2.91%,2.02%,32.79%
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),https://sarmaaya.pk/mutual-funds/fund/8e08979e-5365-41b9-ac93-0035c01e73d6,5.08%,-2.34%,32.78%
Pak Oman Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/2091f546-3549-486e-a905-6d9fa2bc546c,1.46%,-0.47%,32.63%
HBL Investment Fund-Class B,https://sarmaaya.pk/mutual-funds/fund/de03e481-cba5-4879-91d3-0013c2307737,7.89%,1.48%,32.50%
HBL Growth Fund-Class B,https://sarmaaya.pk/mutual-funds/fund/639ced48-a234-4e3c-8c8c-7c0897ff5ed0,-0.48%,-0.04%,32.43%
NIT Islamic Equity Fund,https://sarmaaya.pk/mutual-funds/fund/e62c5e81-5870-4367-a61d-f9f5a6c9f4ae,-4.24%,-4.77%,31.03%
NIT Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/9482a57e-1f9e-4bc5-adb6-6c1f4de6ac52,-2.07%,-1.27%,30.59%
JS Fund of Funds,https://sarmaaya.pk/mutual-funds/fund/506b4a90-f447-4417-8b57-e17232410f1c,0.04%,0.93%,30.23%
HBL Stock Fund,https://sarmaaya.pk/mutual-funds/fund/a014efb0-58d8-40ff-a3bc-ed6181accd02,7.69%,1.55%,29.81%
Meezan Pakistan ETF,https://sarmaaya.pk/mutual-funds/fund/8043a7d9-4671-4fa5-b520-b9da520f1b45,7.62%,0.13%,29.73%
Alfalah GHP Prosperity Planning Fund (Capital Preservation Plan IV),https://sarmaaya.pk/mutual-funds/fund/41c92870-9bbe-437e-af7b-e94b570e680e,2.84%,1.46%,29.27%
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/6fff0000-5530-46ce-84fa-a98f6422d047,1.23%,1.06%,29.21%
Alhamra Opportunity Fund (Dividend Strategy Plan),https://sarmaaya.pk/mutual-funds/fund/11863939-846c-484e-a6fd-b58f74d51456,-2.23%,-0.78%,27.97%
Al Ameen Islamic Aggressive Income Fund,https://sarmaaya.pk/mutual-funds/fund/87df4bbc-74cf-4a82-9a4e-f8f90e8f6107,8.83%,10.90%,25.53%
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan I),https://sarmaaya.pk/mutual-funds/fund/8542517f-d57c-4b31-96ad-0ee4a3a790f5,127.20%,16.45%,24.27%
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/45c3bb33-fa72-4672-a790-3aae10379e2e,2.86%,-2.91%,24.04%
Pak Qatar Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/7aef1d76-2c69-460d-a909-b01479ae2664,7.38%,3.30%,23.70%
ABL Financial Planning Fund (Conservative Plan),https://sarmaaya.pk/mutual-funds/fund/651fb0d5-d4c0-4022-a4bc-0d4ab13e113a,1.11%,1.44%,23.32%
Meezan Financial Planning Fund of Funds (Conservative),https://sarmaaya.pk/mutual-funds/fund/f38648ed-8c0b-4544-847a-c495c4ed2b8d,1.63%,1.33%,23.15%
